Hour,AvgSteps,AvgCalories,TotalObservations
0,44.42115572967679,72.40156709108717,1021
1,20.484818805093045,69.60626836434868,1021
2,10.588638589618022,68.12438785504408,1021
3,7.31207065750736,67.55937193326791,1019
4,9.75540275049116,67.77013752455795,1018
5,26.11307767944936,77.99803343166175,1017
6,120.16437007874016,80.82185039370079,1016
7,267.120315581854,90.59861932938855,1014
8,365.59643916913944,98.03857566765579,1011
9,430.25841584158417,106.34653465346534,1010
10,437.004995004995,106.39260739260739,1001
11,452.74523570712137,108.22868605817452,997
12,520.9447791164658,113.5793172690763,996
13,457.88253012048193,108.55321285140562,996
14,474.12449799196787,111.43373493975903,996
15,390.4693467336683,105.69748743718593,995
16,447.36683417085425,110.27236180904522,995
17,453.6639839034205,112.29879275653923,994
18,505.6465256797583,115.16414904330313,993
19,528.8781470292045,116.32829808660624,993
20,399.3178607467205,104.26337033299697,991
21,261.0090817356206,92.55802219979819,991
22,172.9838383838384,84.80909090909091,990
23,102.90182186234817,76.99898785425101,988
